"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"255",12,"Carson Beck",ARI,"QB39","23","219","270","246.3","15.6","-"
"256",12,"Christian Kirk",SF,"WR103","29","209","352","258.1","36.3","-"
"257",12,"Jaydon Blue",DAL,"RB73","22","219","336","276.8","30.9","-"
"258",12,"Los Angeles Rams",LAR,"DST4","-","202","303","252.9","24.2","-"
"259",12,"Xavier Legette",CAR,"WR104","25","228","283","253.4","15.2","-"
"260",12,"Adam Randall",BAL,"RB74","22","196","344","273.1","42.1","-"
"261",12,"Cedric Tillman",CLE,"WR105","26","237","326","269.1","29.5","-"
"262",12,"Brandon Aubrey",DAL,"K1","31","197","319","248.0","24.5","-"
"263",12,"Justin Fields",KC,"QB40","27","222","270","248.0","12.7","-"
"264",12,"Hollywood Brown",PHI,"WR106","29","229","399","271.7","49.0","-"
"265",12,"Pittsburgh Steelers",PIT,"DST5","-","203","330","264.6","29.8","-"
"266",12,"Seattle Seahawks",SEA,"DST6","-","196","314","255.0","34.8","-"
"267",12,"Cam Little",JAC,"K2","22","200","331","255.4","30.6","-"
"268",12,"Devaughn Vele",NO,"WR107","28","234","379","284.6","45.8","-"
"269",12,"DeMario Douglas",NE,"WR108","25","234","303","257.9","27.3","-"
"270",12,"Minnesota Vikings",MIN,"DST7","-","217","330","271.1","25.5","-"
"271",12,"Brenen Thompson",LAC,"WR109","23","195","299","238.1","26.3","-"
"272",12,"Cooper Kupp",SEA,"WR110","33","228","387","274.4","47.3","-"
"273",12,"Najee Harris",LAC,"RB75","28","242","385","291.0","32.6","-"
"274",12,"Kevin Coleman Jr.",MIA,"WR111","22","194","325","238.4","32.7","-"
"275",12,"Cameron Dicker",LAC,"K3","26","201","334","264.6","33.7","-"
"276",12,"Isaiah Bond",CLE,"WR112","22","247","380","287.1","43.3","-"
"277",12,"Seth McGowan",IND,"RB76","24","204","384","287.1","47.3","-"
"278",12,"Isaiah Davis",NYJ,"RB77","24","276","358","295.4","19.2","-"
"279",12,"Kirk Cousins",LV,"QB41","37","244","281","258.5","10.3","-"
"280",12,"Will Reichard",MIN,"K4","25","206","345","261.1","32.0","-"
"281",12,"Detroit Lions",DET,"DST8","-","215","347","282.5","35.4","-"
"282",12,"Jalen Royals",KC,"WR113","23","211","350","274.5","32.4","-"
"283",12,"Jarquez Hunter",LAR,"RB78","23","229","363","299.4","28.7","-"
"284",12,"Brashard Smith",KC,"RB79","23","226","379","306.5","36.8","-"
"285",12,"Kansas City Chiefs",KC,"DST9","-","224","343","286.2","31.9","-"
"286",12,"DJ Giddens",IND,"RB80","22","246","363","301.8","33.3","-"
"287",12,"Green Bay Packers",GB,"DST10","-","212","336","278.2","34.0","-"
"288",12,"Chris Boswell",PIT,"K5","35","209","358","280.6","32.9","-"
"289",12,"Sam Roush",CHI,"TE40","22","221","322","271.4","35.4","-"
"290",12,"Ka'imi Fairbairn",HOU,"K6","32","207","348","272.8","33.9","-"
"291",12,"Jason Myers",SEA,"K7","35","199","353","283.1","43.7","-"
"292",12,"Drew Allar",PIT,"QB42","22","241","334","274.8","29.4","-"
"293",12,"Kendre Miller",NO,"RB81","24","264","364","313.6","34.2","-"
"294",12,"Wil Lutz",DEN,"K8","32","214","356","285.3","33.3","-"
"295",12,"Harrison Butker",KC,"K9","31","213","364","275.3","42.1","-"
"296",12,"Jordan James",SF,"RB82","22","203","328","286.5","35.9","-"
"297",12,"Baltimore Ravens",BAL,"DST11","-","220","345","295.9","35.1","-"
