"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"229",11,"Emanuel Wilson",SEA,"RB63","27","184","330","244.8","37.8","-"
"230",11,"Ollie Gordon II",MIA,"RB64","22","196","356","245.1","37.9","-"
"231",11,"Justin Joly",DEN,"TE37","22","139","335","227.2","55.1","-"
"232",11,"Tre Tucker",LV,"WR96","25","175","292","229.5","30.0","-"
"233",11,"Deshaun Watson",CLE,"QB36","30","191","283","240.9","26.0","-"
"234",11,"Darnell Mooney",NYG,"WR97","28","192","243","218.6","13.7","-"
"235",11,"Ray Davis",BUF,"RB65","26","198","312","242.6","30.2","-"
"236",11,"Michael Mayer",LV,"TE38","25","199","268","231.7","19.2","-"
"237",11,"Anthony Richardson Sr.",IND,"QB37","24","166","275","223.1","32.3","-"
"238",11,"Theo Johnson",NYG,"TE39","25","194","300","235.5","35.3","-"
"239",11,"Jacoby Brissett",ARI,"QB38","33","176","258","225.3","22.2","-"
"240",11,"Ryan Flournoy",DAL,"WR98","26","174","322","240.9","46.6","-"
"241",11,"Sean Tucker",TB,"RB66","24","203","323","261.0","40.7","-"
"242",11,"Trey Benson",ARI,"RB67","24","178","359","255.3","54.5","-"
"243",11,"James Conner",ARI,"RB68","31","208","387","257.4","46.5","-"
"244",11,"Bryce Lance",NO,"WR99","23","176","279","211.8","33.1","-"
"245",12,"MarShawn Lloyd",GB,"RB69","25","190","339","272.2","40.9","-"
"246",12,"Marvin Mims Jr.",DEN,"WR100","24","194","276","232.9","23.2","-"
"247",12,"Carson Beck",ARI,"QB39","23","219","270","246.5","15.6","-"
"248",12,"Jaylen Wright",MIA,"RB70","23","203","361","257.6","35.8","-"
"249",12,"Seth McGowan",IND,"RB71","24","204","384","289.9","50.6","-"
"250",12,"Devin Neal",NO,"RB72","22","197","320","268.4","37.8","-"
"251",12,"Rashod Bateman",BAL,"WR101","26","211","280","238.5","22.6","-"
"252",12,"Kaelon Black",SF,"RB73","24","189","341","242.9","55.8","-"
"253",12,"Denver Broncos",DEN,"DST1","-","192","270","230.9","16.8","-"
"254",12,"Justin Fields",KC,"QB40","27","222","270","248.0","12.7","-"
"255",12,"Houston Texans",HOU,"DST2","-","193","278","239.5","19.4","-"
"256",12,"Tez Johnson",TB,"WR102","24","212","360","263.9","33.6","-"
"257",12,"Jaydon Blue",DAL,"RB74","22","219","336","275.4","33.6","-"
"258",12,"Philadelphia Eagles",PHI,"DST3","-","194","296","242.8","24.4","-"
"259",12,"Adam Randall",BAL,"RB75","22","196","344","269.8","43.3","-"
"260",12,"Christian Kirk",SF,"WR103","29","209","352","260.0","38.0","-"
"261",12,"Xavier Legette",CAR,"WR104","25","228","283","253.2","16.3","-"
"262",12,"Brenen Thompson",LAC,"WR105","22","195","299","240.3","29.6","-"
