"RK",TIERS,"PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"76",7,"Jadarian Price",SEA,"RB21","22","55","92","74.6","12.3","-17"
"77",7,"Derrick Henry",BAL,"RB22","32","39","88","76.8","15.0","-28"
"78",7,"Bo Nix",DEN,"QB13","26","61","96","77.2","11.3","+6"
"79",7,"Josh Jacobs",GB,"RB23","28","58","88","78.4","9.8","-23"
"80",7,"Bhayshul Tuten",JAC,"RB24","23","66","88","81.1","6.7","-12"
"81",7,"Isaiah Likely",NYG,"TE9","26","69","103","81.8","8.3","+17"
"82",7,"DK Metcalf",PIT,"WR36","28","73","93","82.2","7.5","+12"
"83",8,"Dak Prescott",DAL,"QB14","33","61","135","85.5","18.7","+23"
"84",8,"Kenyon Sadiq",NYJ,"TE10","21","66","155","86.5","25.5","+7"
"85",8,"Jordan Addison",MIN,"WR37","24","73","95","86.6","6.7","-2"
"86",8,"Davante Adams",LAR,"WR38","33","41","120","86.9","22.7","-8"
"87",8,"D'Andre Swift",CHI,"RB25","27","76","99","87.5","6.6","-18"
"88",8,"Dalton Kincaid",BUF,"TE11","26","69","116","89.1","13.8","-2"
"89",8,"George Kittle",SF,"TE12","32","64","116","90.4","17.1","+15"
"90",8,"Jordan Love",GB,"QB15","27","72","116","92.9","12.3","+43"
"91",8,"Denzel Boston",CLE,"WR39","22","71","124","94.4","18.5","+12"
"92",8,"Mike Evans",SF,"WR40","33","50","112","95.4","14.4","0"
"93",8,"Wan'Dale Robinson",TEN,"WR41","25","83","105","95.7","6.4","-5"
"94",8,"Michael Wilson",ARI,"WR42","26","81","115","96.2","10.1","-15"
"95",8,"Courtland Sutton",DEN,"WR43","30","82","108","97.0","8.9","+14"
"96",8,"Quentin Johnston",LAC,"WR44","24","89","112","98.1","5.0","+12"
"97",8,"David Montgomery",HOU,"RB26","29","73","120","99.7","10.9","-27"
"98",8,"Michael Pittman Jr.",PIT,"WR45","28","84","118","100.0","9.9","+7"
"99",8,"Xavier Worthy",KC,"WR46","23","84","115","101.6","9.0","+14"
"100",8,"Josh Downs",IND,"WR47","25","87","120","102.5","9.4","+14"
"101",8,"Omar Cooper Jr.",NYJ,"WR48","22","76","143","104.3","23.9","-6"
"102",8,"Jayden Higgins",HOU,"WR49","23","79","171","104.8","23.8","-"
"103",8,"Jayden Reed",GB,"WR50","26","83","123","104.8","8.9","+14"
"104",8,"Jakobi Meyers",JAC,"WR51","29","93","124","106.9","8.6","+27"
"105",8,"Jared Goff",DET,"QB16","31","84","163","107.4","19.5","+38"
"106",9,"Jaylen Warren",PIT,"RB27","27","92","132","109.5","14.0","-21"
"107",9,"Chris Godwin Jr.",TB,"WR52","30","91","131","110.2","12.1","+22"
"108",9,"Matthew Golden",GB,"WR53","23","95","119","110.2","8.1","-8"
"109",9,"Romeo Doubs",NE,"WR54","26","94","134","112.8","11.1","+16"
"110",9,"Eli Stowers",PHI,"TE13","23","69","207","112.9","49.7","+13"
"111",9,"Brenton Strange",JAC,"TE14","25","89","128","113.0","12.0","+5"
"112",9,"Jake Ferguson",DAL,"TE15","27","87","130","114.3","11.1","-16"
"113",9,"Blake Corum",LAR,"RB28","25","98","136","118.2","14.5","-16"
"114",9,"Fernando Mendoza",LV,"QB17","22","91","154","118.8","20.6","-2"
"115",9,"Kyle Monangai",CHI,"RB29","24","98","159","119.3","18.2","-34"
"116",9,"Baker Mayfield",TB,"QB18","31","91","162","121.2","17.8","+11"
"117",9,"RJ Harvey",DEN,"RB30","25","97","146","121.8","15.2","-45"
"118",9,"Dallas Goedert",PHI,"TE16","31","77","155","122.1","22.6","+29"
"119",9,"Jalen Coker",CAR,"WR55","24","108","131","122.7","5.5","+9"
"120",9,"Khalil Shakir",BUF,"WR56","26","110","135","123.8","8.6","+14"
"121",9,"C.J. Stroud",HOU,"QB19","24","110","147","124.8","14.6","+28"
"122",9,"Mark Andrews",BAL,"TE17","31","99","154","126.2","15.6","+19"
"123",9,"Cam Ward",TEN,"QB20","24","109","161","126.7","15.6","+33"
"124",9,"Jonathon Brooks",CAR,"RB31","23","87","178","127.6","26.6","-23"
"125",9,"Oronde Gadsden II",LAC,"TE18","23","89","184","128.0","28.5","-38"
"126",9,"Tyler Shough",NO,"QB21","26","110","175","128.6","16.3","+67"
"127",9,"Rico Dowdle",PIT,"RB32","28","104","146","131.5","12.4","-28"
"128",9,"Zach Charbonnet",SEA,"RB33","25","86","194","131.7","30.4","-9"
"129",9,"Rhamondre Stevenson",NE,"RB34","28","103","149","131.8","11.8","-27"
"130",9,"Malik Willis",MIA,"QB22","27","118","147","133.7","9.7","+100"
"131",9,"Chuba Hubbard",CAR,"RB35","27","106","159","135.0","17.6","-41"
"132",9,"Kyler Murray",MIN,"QB23","29","109","178","136.6","15.9","+67"
"133",9,"Tre' Harris",LAC,"WR57","24","106","173","137.2","19.2","+39"
"134",9,"Terrance Ferguson",LAR,"TE19","23","109","171","137.2","20.7","+41"
"135",10,"Matthew Stafford",LAR,"QB24","38","91","176","137.5","19.5","-3"
"136",10,"Jonah Coleman",DEN,"RB36","23","100","204","137.6","27.0","-18"
"137",10,"Sam Darnold",SEA,"QB25","29","127","160","139.7","8.3","+64"
"138",10,"De'Zhaun Stribling",SF,"WR58","23","79","259","140.4","46.5","0"
"139",10,"Stefon Diggs",WAS,"WR59","32","115","183","142.1","21.9","+9"
"140",10,"Tony Pollard",TEN,"RB37","29","112","181","142.3","22.0","-19"
"141",10,"Rashid Shaheed",SEA,"WR60","28","113","182","145.5","20.9","+4"
"142",10,"Antonio Williams",WAS,"WR61","22","112","198","146.1","27.6","+22"
"143",10,"Daniel Jones",IND,"QB26","29","139","154","146.5","4.5","+99"
"144",10,"Ricky Pearsall",SF,"WR62","25","99","175","125.8","26.4","-"
"145",10,"Kenny Gainwell",TB,"RB38","27","111","168","147.6","15.8","-23"
"146",10,"Chig Okonkwo",WAS,"TE20","26","118","195","148.2","25.6","+20"
"147",10,"AJ Barner",SEA,"TE21","24","114","177","148.7","18.6","-11"
"148",10,"Travis Kelce",KC,"TE22","36","88","177","149.3","21.3","-18"
"149",10,"Jalen McMillan",TB,"WR63","24","125","194","151.2","20.6","+2"
"150",10,"Jacory Croskey-Merritt",WAS,"RB39","25","138","162","151.7","7.0","-40"
"151",10,"Chris Bell",MIA,"WR64","22","112","235","152.8","41.2","-5"
"152",10,"Bryce Young",CAR,"QB27","25","142","203","155.2","15.8","+80"
"153",10,"Juwan Johnson",NO,"TE23","29","117","184","155.3","19.9","+7"
"154",10,"J.K. Dobbins",DEN,"RB40","27","133","178","155.3","12.9","-39"
"155",10,"Adonai Mitchell",NYJ,"WR65","23","126","192","156.8","22.3","+60"
"156",10,"Germie Bernard",PIT,"WR66","22","115","214","157.1","27.9","-19"
"157",10,"Travis Hunter",JAC,"WR67","23","105","192","157.9","24.9","-46"
"158",10,"Rachaad White",WAS,"RB41","27","129","182","158.0","14.5","-18"
"159",10,"Jauan Jennings",MIN,"WR68","29","127","209","158.5","20.7","+17"
"160",10,"Jaylin Noel",HOU,"WR69","24","125","216","160.8","24.6","+81"
"161",10,"Jordan Mason",MIN,"RB42","27","146","191","161.6","12.5","-35"
"162",10,"T.J. Hockenson",MIN,"TE24","29","144","186","166.8","14.6","-3"
"163",10,"Jerry Jeudy",CLE,"WR70","27","124","192","167.4","20.3","+45"
"164",10,"Pat Bryant",DEN,"WR71","23","135","198","167.5","20.6","+48"
"165",10,"Ted Hurst III",TB,"WR72","22","105","260","168.1","40.3","+41"
"166",10,"Tyler Allgeier",ARI,"RB43","26","132","197","170.8","17.6","-46"
"167",10,"Hunter Henry",NE,"TE25","31","124","231","171.5","32.3","+6"
"168",11,"Deebo Samuel Sr.",SF,"WR73","30","128","237","173.8","35.8","-13"
"169",11,"Emmett Johnson",KC,"RB44","22","140","202","173.9","20.4","-25"
"170",11,"Ja'Kobi Lane",BAL,"WR74","22","125","255","174.0","39.7","-20"
"171",11,"Woody Marks",HOU,"RB45","25","148","193","174.0","12.4","-47"
"172",11,"Tyrone Tracy Jr.",NYG,"RB46","26","155","200","175.9","12.5","-30"
"173",11,"Chris Rodriguez Jr.",JAC,"RB47","26","129","202","176.1","20.1","-11"
"174",11,"Kayshon Boutte",HOU,"WR75","24","138","248","177.4","24.7","+4"
"175",11,"Troy Franklin",DEN,"WR76","23","148","212","178.9","20.6","+32"
"176",11,"Isaac TeSlaa",DET,"WR77","24","122","237","179.8","29.5","-5"
"177",11,"Michael Penix Jr.",ATL,"QB28","26","154","215","180.0","20.6","+104"
"178",11,"Elijah Sarratt",BAL,"WR78","23","143","238","183.2","30.1","-24"
"179",11,"Gunnar Helm",TEN,"TE26","23","153","219","183.6","16.6","0"
"180",11,"Dylan Sampson",CLE,"RB48","21","162","216","184.4","18.4","-22"
"181",11,"Nicholas Singleton",TEN,"RB49","22","146","225","184.5","24.1","-46"
"182",11,"Aaron Jones Sr.",MIN,"RB50","31","155","209","185.0","20.8","-30"
"183",11,"Keaton Mitchell",LAC,"RB51","24","136","216","185.9","17.9","-15"
"184",11,"Mike Washington Jr.",LV,"RB52","23","156","230","186.9","23.6","-21"
"185",11,"Malachi Fields",NYG,"WR79","23","145","237","187.2","30.0","-18"
"186",11,"Dalton Schultz",HOU,"TE27","30","129","255","188.7","31.0","+28"
"187",11,"Zachariah Branch",ATL,"WR80","22","138","229","192.3","25.7","-48"
"188",11,"Ty Simpson",LAR,"QB29","23","147","177","155.7","9.2","+15"
"189",11,"Dontayvion Wicks",PHI,"WR81","25","156","282","194.7","34.7","+74"
"190",11,"Jalen Nailor",LV,"WR82","27","151","283","196.3","37.3","+12"
"191",11,"Tyjae Spears",TEN,"RB53","25","178","233","199.0","15.0","-34"
"192",11,"Tank Bigsby",PHI,"RB54","24","182","220","200.5","14.9","-31"
"193",11,"Braelon Allen",NYJ,"RB55","22","181","226","203.8","15.4","-40"
"194",11,"Cade Otton",TB,"TE28","27","171","255","204.0","23.8","+53"
"195",11,"Shedeur Sanders",CLE,"QB30","24","174","222","204.0","12.6","+75"
"196",11,"David Njoku",LAC,"TE29","30","184","244","206.9","17.5","+21"
"197",11,"Kaytron Allen",WAS,"RB56","23","146","271","209.8","29.1","+3"
"198",11,"Elic Ayomanor",TEN,"WR83","23","165","260","210.5","30.0","+52"
"199",11,"Isiah Pacheco",DET,"RB57","27","178","262","213.2","22.6","-34"
"200",11,"Tre Tucker",LV,"WR84","25","152","280","214.1","43.2","+34"
"201",11,"Calvin Ridley",TEN,"WR85","31","151","257","199.3","34.0","+72"
"202",11,"Max Klare",LAR,"TE30","23","177","328","214.8","44.9","+41"
"203",11,"Skyler Bell",BUF,"WR86","24","137","271","199.8","40.4","+10"
"204",11,"Alvin Kamara",NO,"RB58","31","178","288","217.4","33.5","-30"
"205",12,"Tua Tagovailoa",ATL,"QB31","28","205","268","218.2","19.9","-"
"206",12,"Ryan Flournoy",DAL,"WR87","26","161","268","203.8","33.4","+30"
"207",12,"Tory Horton",SEA,"WR88","23","153","280","219.4","33.1","+38"
"208",12,"Brian Robinson Jr.",ATL,"RB59","27","185","298","220.5","29.1","-4"
"209",12,"Jack Bech",LV,"WR89","23","185","260","220.7","22.8","+66"
"210",12,"Chimere Dike",TEN,"WR90","24","179","256","220.9","22.8","+34"
"211",12,"Pat Freiermuth",PIT,"TE31","27","182","255","206.6","20.2","+37"
"212",12,"Mason Taylor",NYJ,"TE32","22","186","243","207.1","15.3","-35"
"213",12,"Darnell Mooney",NYG,"WR91","28","175","236","211.6","19.7","+71"
"214",12,"Kimani Vidal",LAC,"RB60","25","202","290","226.5","20.3","-5"
"215",12,"Chris Brazzell II",CAR,"WR92","22","151","312","196.8","47.9","+25"
"216",12,"Kyle Williams",NE,"WR93","23","174","351","228.7","41.6","+66"
"217",12,"Rashod Bateman",BAL,"WR94","26","173","240","218.1","22.5","+50"
"218",12,"Keon Coleman",BUF,"WR95","23","190","344","236.0","38.6","-8"
"219",12,"Eli Raridon",NE,"TE33","22","129","343","206.3","62.0","+41"
"220",12,"Greg Dulcich",MIA,"TE34","26","143","260","188.3","31.8","-"
"221",12,"MarShawn Lloyd",GB,"RB61","25","165","322","226.1","50.4","+3"
"222",12,"Oscar Delp",NO,"TE35","23","123","376","211.4","71.3","+50"
"223",12,"Cyrus Allen",KC,"WR96","23","169","272","213.0","27.6","-29"
"224",12,"Malik Washington",MIA,"WR97","25","175","281","229.0","35.1","-19"
"225",12,"Tank Dell",HOU,"WR98","26","180","307","229.1","38.1","-55"
"226",12,"Demond Claiborne",MIN,"RB62","22","174","342","243.6","46.9","+2"
"227",12,"Denver Broncos",DEN,"DST1","-","225","248","233.0","6.2","-42"
"228",12,"Tyreek Hill",FA,"WR99","32","209","276","233.3","20.8","-9"
"229",12,"Aaron Rodgers",PIT,"QB32","42","169","270","233.8","30.6","-"
"230",12,"J.J. McCarthy",MIN,"QB33","23","167","256","219.0","25.7","-"
"231",12,"Bryce Lance",NO,"WR100","24","139","268","203.9","40.5","-"
